NOTE,DOMAIN,PAGE,ID,NATURAL,ITA,SPA,CAT,POR
,0,,0,Insert your most frequent trip. 📆 🚂 🚠,Inserisci il tuo tragitto più frequente. 📆 🚂 🚠,,,
,0,,0,Text your address then choose the type,Inserisci il tuo indirizzo,,,
,0,,0,Your current location,La tua posizione attuale,,,
,0,,0,How do you usually do this frequent trip?,Come spesso percorri questa tratta?,,,
,0,,0,Do you have a car? 🚘 🚖 🚔,Hai un'auto? 🚘 🚖 🚔,,,
,0,,0,We need this information to estimate your CO2 emissions.,Ci serve quest'informazione per stimare le tue emissioni di CO2.,,,
,0,,0,"Yes, it is at my disposal","Si, è a mia disposizione",,,
,0,,0,small,piccola,,,
,0,,0,medium,media,,,
,0,,0,large,grande,,,
,0,,0,mini,mini,,,
,0,,0,Yes,Si,,,
,0,,0,No,No,,,
,0,,0,petrol,benzina,,,
,0,,0,diesel,diesel,,,
,0,,0,petrol hybrids,ibrida,,,
,0,,0,LPG,GPL,,,
,0,,0,CNG,metano,,,
,0,,0,electric,elettrica,,,
,0,,0,Year of vehicle registration,Anno di immatricolazione,,,
,0,,0,Engine,Motore,,,
,0,,0,2 stroke,2 tempi,,,
,0,,0,4 stroke,4 tempi,,,
,0,,0,Cubic capacity,Cilindrata,,,
,0,,0,Choose,Scegli,,,
Da riformulare e scrivere in inglese,0,,0,"MUV punta a incentivare comportamenti sostenibili e a promuovere abitudini di vita più sane semplicemente giocando. 
Al suddetto fine è necessario che l’Utente fornisca il consenso funzionale ad abilitare il tracciamento nei seguenti ambiti:","MUV punta a incentivare comportamenti sostenibili e a promuovere abitudini di vita più sane semplicemente giocando. 
Al suddetto fine è necessario che l’Utente fornisca il consenso funzionale ad abilitare il tracciamento nei seguenti ambiti:",,,
Da riformulare e scrivere in inglese,0,,0,Geolocalizzazione,Geolocalizzazione,,,
Da riformulare e scrivere in inglese,0,,0,La posizione e i dati GPS sono essenziali per misurare gli spostamenti sostenibili dell’Utente (come descritto nel dettaglio nell’Informativa sulla privacy).,La posizione e i dati GPS sono essenziali per misurare gli spostamenti sostenibili dell’Utente (come descritto nel dettaglio nell’Informativa sulla privacy).,,,
Da riformulare e scrivere in inglese,0,,0,Movimento,Movimento,,,
Da riformulare e scrivere in inglese,0,,0,I dati di monitoraggio delle attività (activity recognition) servono a certificare che l’Utente si sia mosso effettivamente come ha dichiarato.,I dati di monitoraggio delle attività (activity recognition) servono a certificare che l’Utente si sia mosso effettivamente come ha dichiarato.,,,
Da riformulare e scrivere in inglese,0,,0,Salute,Salute,,,
Da riformulare e scrivere in inglese,0,,0,I dati di monitoraggio di salute (Apple HealthKit e Google Fit) ci permettono di misurare le calorie spese e di attribuire punti in base ai minuti di attività giornaliera. ,I dati di monitoraggio di salute (Apple HealthKit e Google Fit) ci permettono di misurare le calorie spese e di attribuire punti in base ai minuti di attività giornaliera. ,,,
Da riformulare e scrivere in inglese,0,,0,"In MUV puntiamo a offrire a tutti la miglior esperienza di gioco possibile; allo stesso modo però, abbiamo a cuore i dati personali degli Utenti attraverso il rispetto del regolamento UE che li tutela (CE 2016/679 più noto come GDPR). Perciò l’Utente ha il diritto di accettare o meno le seguenti condizioni che, in caso affermativo, gli garantiranno un servizio completo e personalizzato.","In MUV puntiamo a offrire a tutti la miglior esperienza di gioco possibile; allo stesso modo però, abbiamo a cuore i dati personali degli Utenti attraverso il rispetto del regolamento UE che li tutela (CE 2016/679 più noto come GDPR). Perciò l’Utente ha il diritto di accettare o meno le seguenti condizioni che, in caso affermativo, gli garantiranno un servizio completo e personalizzato.",,,
Da riformulare e scrivere in inglese,0,,0,"Si ricorda che tutte le scelte in merito dell’Utente possono essere modificate in qualsiasi momento dall’App, accedendo alla sezione Impostazioni-->Privacy e Sicurezza-->Consenso Informato.","Si ricorda che tutte le scelte in merito dell’Utente possono essere modificate in qualsiasi momento dall’App, accedendo alla sezione Impostazioni-->Privacy e Sicurezza-->Consenso Informato.",,,
Da riformulare e scrivere in inglese,0,,0,Fornisco il consenso per:,Fornisco il consenso per:,,,
Da riformulare e scrivere in inglese,0,,0,Notifiche personalizzate,Notifiche personalizzate,,,
Da riformulare e scrivere in inglese,0,,0,"Abilitare la ricezione di notifiche relative alle proprie performance di gioco o al lancio di nuove sfide e tornei, nonché di incitamenti o suggerimenti per migliorare i propri comportamenti.","Abilitare la ricezione di notifiche relative alle proprie performance di gioco o al lancio di nuove sfide e tornei, nonché di incitamenti o suggerimenti per migliorare i propri comportamenti.",,,
Da riformulare e scrivere in inglese,0,,0,"Offerte di sponsorizzazione, inviti a competizioni e premi","Offerte di sponsorizzazione, inviti a competizioni e premi",,,
Da riformulare e scrivere in inglese,0,,0,"Ricevere offerte di sponsorizzazione personalizzate nonché inviti a competizioni, come sfide o tornei promossi da MUV o dai i suoi partner ed essere premiato con premi o sconti.","Ricevere offerte di sponsorizzazione personalizzate nonché inviti a competizioni, come sfide o tornei promossi da MUV o dai i suoi partner ed essere premiato con premi o sconti.",,,
Da riformulare e scrivere in inglese,0,,0,Condivisione dei dati con la mia città,Condivisione dei dati con la mia città,,,
Da riformulare e scrivere in inglese,0,,0,Consentire che i dati prodotti attraverso l’app MUV possano essere messi a disposizione delle città (amministrazioni e/o enti pubblici) in cui sono stati registrati per supportarle nel processo di progettazione di politiche di mobilità sostenibile. ,Consentire che i dati prodotti attraverso l’app MUV possano essere messi a disposizione delle città (amministrazioni e/o enti pubblici) in cui sono stati registrati per supportarle nel processo di progettazione di politiche di mobilità sostenibile. ,,,
Da riformulare e scrivere in inglese,0,,0,Mailing list,Mailing list,,,
Da riformulare e scrivere in inglese,0,,0,"Ricevere email contenenti aggiornamenti promozionali su MUV come nuovi tornei, sfide o premi.
Promettiamo di inviarti solo qualche messaggio di tanto in tanto.
","Ricevere email contenenti aggiornamenti promozionali su MUV come nuovi tornei, sfide o premi.
Promettiamo di inviarti solo qualche messaggio di tanto in tanto.
",,,
,0,,0,"Now you're all set, Newbie! 🎉 🙌","Adesso è tutto pronto, Newbie! 🎉 🙌",,,
,0,,0,"Start MUVing, training and competing to get to the next level!","Inizia a MUoVerti, allenarti e gareggiare per raggiungere il prossimo livello!",,,
